Entity_ID,Customer,Destination,Category,Week +1_Vol,Week +1_Wt,Week +2_Vol,Week +2_Wt,Week +3_Vol,Week +3_Wt,Week +4_Vol,Week +4_Wt
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GP_13","Yanwen Logistics Co., Ltd. Shenzhen Branch",GP,RUBBER MAGNETS类,40.0,4.32,16.0,1.73,14.0,1.51,5.0,0.54
"Yanwen Logistics Co., Ltd. Shenzhen Branch_EG_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",EG,MAT类,38.0,3.33,9.0,0.79,12.0,1.05,5.0,0.44
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,L1大类8_长尾杂项,38.0,8.77,4.0,0.92,1.0,0.23,0.0,0.0
GPGS_NL_368,GPGS,NL,AUDIO ACCESSORIES类,36.0,3.63,11.0,1.11,8.0,0.81,1.0,0.1
GPGS_FR_368,GPGS,FR,AUDIO ACCESSORIES类,30.0,3.01,7.0,0.7,11.0,1.11,3.0,0.3
"Yanwen Logistics Co., Ltd. Shenzhen Branch_FO_5","Yanwen Logistics Co., Ltd. Shenzhen Branch",FO,KIDS PAINTING KIT,30.0,8.05,3.0,0.8,1.0,0.27,0.0,0.0
Shipany Limited_TH_19999,Shipany Limited,TH,L1大类19_长尾杂项,28.0,8.79,28.0,8.79,24.0,7.54,3.0,0.94
Shipany Limited_TH_303,Shipany Limited,TH,SWISSE BEAUTY BRIGHT SKIN BOOSTER类,28.0,9.05,23.0,7.44,20.0,6.47,2.0,0.65
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,L1大类0_长尾杂项,28.0,12.25,4.0,1.75,8.0,3.5,2.0,0.87
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CH_243","Yanwen Logistics Co., Ltd. Shenzhen Branch",CH,SCREW类,28.0,2.18,5.0,0.39,6.0,0.47,1.0,0.08
"Yanwen Logistics Co., Ltd. Shenzhen Branch_MQ_286","Yanwen Logistics Co., Ltd. Shenzhen Branch",MQ,HAIR TRIMMER,26.0,7.49,15.0,4.32,13.0,3.74,1.0,0.29
GPGS_DK_368,GPGS,DK,AUDIO ACCESSORIES类,25.0,2.5,3.0,0.3,8.0,0.8,2.0,0.2
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_127","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,PLASTIC OPTICAL FRAME类,24.0,3.31,5.0,0.69,5.0,0.69,2.0,0.28
GPGS_SG_368,GPGS,SG,AUDIO ACCESSORIES类,23.0,2.3,5.0,0.5,18.0,1.8,2.0,0.2
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_156","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,WATCH STRAP类,23.0,4.68,2.0,0.41,2.0,0.41,0.0,0.0
GPGS_FI_368,GPGS,FI,AUDIO ACCESSORIES类,23.0,2.3,6.0,0.6,7.0,0.7,1.0,0.1
"Yanwen Logistics Co., Ltd. Shenzhen Branch_QA_5","Yanwen Logistics Co., Ltd. Shenzhen Branch",QA,KIDS PAINTING KIT,22.0,1.7,3.0,0.23,3.0,0.23,1.0,0.08
"Yanwen Logistics Co., Ltd. Shenzhen Branch_MQ_483","Yanwen Logistics Co., Ltd. Shenzhen Branch",MQ,DEPILATOR类,22.0,9.63,2.0,0.88,3.0,1.31,1.0,0.44
GPGS_NZ_368,GPGS,NZ,AUDIO ACCESSORIES类,22.0,2.21,7.0,0.7,12.0,1.21,7.0,0.7
Shipany Limited_TH_294,Shipany Limited,TH,SWISSE ULTIBOOST MAGNESIUM + SLEEP POWDER类,22.0,10.69,31.0,15.06,13.0,6.31,4.0,1.94
Shipany Limited_TH_293,Shipany Limited,TH,SWISSE ULTIVITE MEN'S MULTIVITAMIN类,21.0,4.69,20.0,4.46,16.0,3.57,1.0,0.22
Easyship Fulfillment Services Limited_IL_159,Easyship Fulfillment Services Limited,IL,TANGEM CARD 2.0 SET OF 3 CARDS SEMICONDUCTOR SMART类,20.0,2.2,23.0,2.53,14.0,1.54,8.0,0.88
"Yanwen Logistics Co., Ltd. Shenzhen Branch_MQ_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",MQ,L1大类8_长尾杂项,20.0,4.71,2.0,0.47,4.0,0.94,1.0,0.24
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_383","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,PAINTING BY NUMBERS类,19.0,13.45,1.0,0.71,1.0,0.71,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_DK_87","Yanwen Logistics Co., Ltd. Shenzhen Branch",DK,PHONE SCREEN PROTECTOR类,18.0,1.3,1.0,0.07,0.0,0.0,1.0,0.07
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CH_367","Yanwen Logistics Co., Ltd. Shenzhen Branch",CH,SPEAKER PARTS类,18.0,1.09,8.0,0.48,16.0,0.97,10.0,0.61
GPGS_SE_368,GPGS,SE,AUDIO ACCESSORIES类,17.0,1.7,4.0,0.4,5.0,0.5,6.0,0.6
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,L1大类8_长尾杂项,16.0,3.95,1.0,0.25,0.0,0.0,0.0,0.0
ASIA ENTERTAINMENT TECHNOLOGY LTD_NZ_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,NZ,VIDEO GAME类,16.0,6.15,3.0,1.15,4.0,1.54,1.0,0.38
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CL_233","Yanwen Logistics Co., Ltd. Shenzhen Branch",CL,ACRYLIC PENDANT DECORATIONS类,15.0,1.57,1.0,0.1,3.0,0.31,1.0,0.1
Motion Global Limited_NZ_145,Motion Global Limited,NZ,LENS CASE类,15.0,3.68,14.0,3.43,13.0,3.19,11.0,2.7
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CH_16999","Yanwen Logistics Co., Ltd. Shenzhen Branch",CH,L1大类16_长尾杂项,15.0,0.76,9.0,0.46,10.0,0.51,11.0,0.56
"Yanwen Logistics Co., Ltd. Shenzhen Branch_QA_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",QA,L1大类0_长尾杂项,14.0,12.99,2.0,1.86,7.0,6.49,2.0,1.86
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GP_483","Yanwen Logistics Co., Ltd. Shenzhen Branch",GP,DEPILATOR类,14.0,6.34,1.0,0.45,1.0,0.45,0.0,0.0
Easyship Fulfillment Services Limited_GE_159,Easyship Fulfillment Services Limited,GE,TANGEM CARD 2.0 SET OF 3 CARDS SEMICONDUCTOR SMART类,13.0,1.84,8.0,1.13,1.0,0.14,1.0,0.14
"Yanwen Logistics Co., Ltd. Shenzhen Branch_QA_156","Yanwen Logistics Co., Ltd. Shenzhen Branch",QA,WATCH STRAP类,13.0,2.68,3.0,0.62,21.0,4.33,7.0,1.44
Easyship Fulfillment Services Limited_SA_159,Easyship Fulfillment Services Limited,SA,TANGEM CARD 2.0 SET OF 3 CARDS SEMICONDUCTOR SMART类,13.0,1.34,6.0,0.62,3.0,0.31,10.0,1.03
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CL_396","Yanwen Logistics Co., Ltd. Shenzhen Branch",CL,PLASTIC MEASURING SPOON类,13.0,2.54,2.0,0.39,1.0,0.2,1.0,0.2
Motion Global Limited_IN_290,Motion Global Limited,IN,EYEWEAR类,12.0,3.67,19.0,5.82,12.0,3.67,4.0,1.22
"Yanwen Logistics Co., Ltd. Shenzhen Branch_QA_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",QA,L1大类8_长尾杂项,12.0,4.15,4.0,1.38,8.0,2.77,2.0,0.69
"Yanwen Logistics Co., Ltd. Shenzhen Branch_PF_13","Yanwen Logistics Co., Ltd. Shenzhen Branch",PF,RUBBER MAGNETS类,11.0,2.02,3.0,0.55,4.0,0.73,1.0,0.18
GPGS_ES_368,GPGS,ES,AUDIO ACCESSORIES类,11.0,1.13,3.0,0.31,7.0,0.72,1.0,0.1
GPGS_IT_368,GPGS,IT,AUDIO ACCESSORIES类,11.0,1.1,3.0,0.3,4.0,0.4,2.0,0.2
"Yanwen Logistics Co., Ltd. Shenzhen Branch_NO_87","Yanwen Logistics Co., Ltd. Shenzhen Branch",NO,PHONE SCREEN PROTECTOR类,11.0,0.67,1.0,0.06,1.0,0.06,1.0,0.06
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GP_286","Yanwen Logistics Co., Ltd. Shenzhen Branch",GP,HAIR TRIMMER,11.0,3.18,8.0,2.32,4.0,1.16,1.0,0.29
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_306","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,DRESS FOR WOMEN类,10.0,4.29,1.0,0.43,1.0,0.43,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_361","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,BLACK MOISTURIZING EYE CREAM类,10.0,0.94,4.0,0.38,4.0,0.38,3.0,0.28
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_201","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,CASUAL SHOES类,10.0,10.08,1.0,1.01,2.0,2.02,1.0,1.01
ASIA ENTERTAINMENT TECHNOLOGY LTD_CH_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,CH,VIDEO GAME类,10.0,3.08,9.0,2.77,21.0,6.47,12.0,3.7
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_165","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,PAPER CARD类,9.0,2.38,1.0,0.26,1.0,0.26,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GP_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",GP,L1大类8_长尾杂项,9.0,1.94,1.0,0.22,3.0,0.65,1.0,0.22
Shipany Limited_TH_304,Shipany Limited,TH,SWISSE BEAUTY GRAPE类,9.0,2.28,5.0,1.26,10.0,2.53,1.0,0.25
"Yanwen Logistics Co., Ltd. Shenzhen Branch_PF_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",PF,L1大类8_长尾杂项,9.0,3.0,1.0,0.33,1.0,0.33,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_BH_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",BH,MAT类,9.0,1.54,2.0,0.34,3.0,0.51,0.0,0.0
Easyship Fulfillment Services Limited_AE_159,Easyship Fulfillment Services Limited,AE,TANGEM CARD 2.0 SET OF 3 CARDS SEMICONDUCTOR SMART类,9.0,1.03,3.0,0.34,2.0,0.23,3.0,0.34
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CH_2999","Yanwen Logistics Co., Ltd. Shenzhen Branch",CH,L1大类2_长尾杂项,9.0,0.73,2.0,0.16,4.0,0.32,1.0,0.08
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_19999","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,L1大类19_长尾杂项,9.0,1.81,1.0,0.2,1.0,0.2,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,MAT类,9.0,1.71,2.0,0.38,2.0,0.38,1.0,0.19
ASIA ENTERTAINMENT TECHNOLOGY LTD_CN_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,CN,VIDEO GAME类,8.0,3.46,11.0,4.75,5.0,2.16,3.0,1.3
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_17999","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,L1大类17_长尾杂项,8.0,1.77,3.0,0.66,2.0,0.44,2.0,0.44
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GE_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",GE,L1大类0_长尾杂项,8.0,4.69,2.0,1.17,1.0,0.59,0.0,0.0
ASIA ENTERTAINMENT TECHNOLOGY LTD_MY_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,MY,VIDEO GAME类,8.0,3.18,5.0,1.99,7.0,2.79,2.0,0.8
ASIA ENTERTAINMENT TECHNOLOGY LTD_AU_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,AU,VIDEO GAME类,8.0,2.37,4.0,1.19,2.0,0.59,1.0,0.3
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CZ_367","Yanwen Logistics Co., Ltd. Shenzhen Branch",CZ,SPEAKER PARTS类,8.0,0.51,3.0,0.19,2.0,0.13,1.0,0.06
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GF_483","Yanwen Logistics Co., Ltd. Shenzhen Branch",GF,DEPILATOR类,8.0,3.63,1.0,0.45,1.0,0.45,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_407","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,CUP类,8.0,4.66,1.0,0.58,1.0,0.58,0.0,0.0
GPGS_IL_368,GPGS,IL,AUDIO ACCESSORIES类,8.0,0.81,2.0,0.2,3.0,0.31,2.0,0.2
"Yanwen Logistics Co., Ltd. Shenzhen Branch_MQ_165","Yanwen Logistics Co., Ltd. Shenzhen Branch",MQ,PAPER CARD类,8.0,2.56,1.0,0.32,0.0,0.0,0.0,0.0
Shipany Limited_TH_302,Shipany Limited,TH,SWISSE ULTIBIOTIC WOMEN'S FLORA PROBIOTIC类,8.0,1.82,9.0,2.05,21.0,4.77,1.0,0.23
Easyship Fulfillment Services Limited_CO_159,Easyship Fulfillment Services Limited,CO,TANGEM CARD 2.0 SET OF 3 CARDS SEMICONDUCTOR SMART类,7.0,0.8,16.0,1.84,6.0,0.69,6.0,0.69
"Yanwen Logistics Co., Ltd. Shenzhen Branch_DZ_145","Yanwen Logistics Co., Ltd. Shenzhen Branch",DZ,LENS CASE类,7.0,0.95,1.0,0.14,1.0,0.14,2.0,0.27
"Yanwen Logistics Co., Ltd. Shenzhen Branch_MU_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",MU,L1大类8_长尾杂项,7.0,3.95,1.0,0.56,1.0,0.56,0.0,0.0
GPGS_HR_368,GPGS,HR,AUDIO ACCESSORIES类,7.0,0.7,3.0,0.3,7.0,0.7,1.0,0.1
ASIA ENTERTAINMENT TECHNOLOGY LTD_KW_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,KW,VIDEO GAME类,7.0,3.65,4.0,2.09,2.0,1.04,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,MAT类,7.0,1.34,1.0,0.19,2.0,0.38,1.0,0.19
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_352","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,TOY类,7.0,2.55,0.0,0.0,2.0,0.73,2.0,0.73
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_319","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,ZINC ALLOY MEDAL类,6.0,1.39,2.0,0.46,1.0,0.23,0.0,0.0
GPGS_BE_368,GPGS,BE,AUDIO ACCESSORIES类,6.0,0.7,2.0,0.23,4.0,0.47,2.0,0.23
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_7999","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,L1大类7_长尾杂项,6.0,4.66,0.0,0.0,3.0,2.33,2.0,1.55
"Yanwen Logistics Co., Ltd. Shenzhen Branch_HR_119","Yanwen Logistics Co., Ltd. Shenzhen Branch",HR,PHONE CASE类,6.0,0.32,1.0,0.05,1.0,0.05,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_HR_87","Yanwen Logistics Co., Ltd. Shenzhen Branch",HR,PHONE SCREEN PROTECTOR类,6.0,0.4,2.0,0.13,1.0,0.07,2.0,0.13
"Yanwen Logistics Co., Ltd. Shenzhen Branch_AM_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",AM,L1大类0_长尾杂项,6.0,3.0,1.0,0.5,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_384","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,ARTISTIC BRUSHES类,6.0,1.32,1.0,0.22,1.0,0.22,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_MQ_361","Yanwen Logistics Co., Ltd. Shenzhen Branch",MQ,BLACK MOISTURIZING EYE CREAM类,6.0,0.55,1.0,0.09,3.0,0.27,0.0,0.0
GPGS_HU_368,GPGS,HU,AUDIO ACCESSORIES类,6.0,0.61,2.0,0.2,4.0,0.41,2.0,0.2
GPGS_IE_368,GPGS,IE,AUDIO ACCESSORIES类,6.0,0.61,2.0,0.2,7.0,0.71,2.0,0.2
"Yanwen Logistics Co., Ltd. Shenzhen Branch_OM_336","Yanwen Logistics Co., Ltd. Shenzhen Branch",OM,ESSENTIAL OIL SOAP类,6.0,1.76,2.0,0.59,1.0,0.29,1.0,0.29
"Yanwen Logistics Co., Ltd. Shenzhen Branch_BM_5","Yanwen Logistics Co., Ltd. Shenzhen Branch",BM,KIDS PAINTING KIT,6.0,3.27,1.0,0.55,1.0,0.55,0.0,0.0
BLACKSHEEP AVIONICS CO LTD._AU_12999,BLACKSHEEP AVIONICS CO LTD.,AU,L1大类12_长尾杂项,6.0,1.9,1.0,0.32,3.0,0.95,0.0,0.0
ASIA ENTERTAINMENT TECHNOLOGY LTD_PE_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,PE,VIDEO GAME类,6.0,2.48,5.0,2.07,9.0,3.72,2.0,0.83
"Yanwen Logistics Co., Ltd. Shenzhen Branch_NO_445","Yanwen Logistics Co., Ltd. Shenzhen Branch",NO,GASKET类,6.0,0.12,1.0,0.02,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_200","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,GARDEN LAMP类,6.0,4.91,1.0,0.82,5.0,4.1,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_12999","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,L1大类12_长尾杂项,5.0,2.47,0.0,0.0,1.0,0.49,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,MAT类,5.0,1.85,1.0,0.37,1.0,0.37,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_165","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,PAPER CARD类,5.0,1.92,2.0,0.77,2.0,0.77,1.0,0.38
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CL_2999","Yanwen Logistics Co., Ltd. Shenzhen Branch",CL,L1大类2_长尾杂项,5.0,0.53,0.0,0.0,1.0,0.11,0.0,0.0
Shenzhen Takesend Logistics Co. Ltd._ES_383,Shenzhen Takesend Logistics Co. Ltd.,ES,PAINTING BY NUMBERS类,5.0,4.68,0.0,0.0,1.0,0.94,1.0,0.94
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_2999","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,L1大类2_长尾杂项,5.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TT_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",TT,L1大类8_长尾杂项,5.0,2.23,0.0,0.0,1.0,0.45,0.0,0.0
GPGS_CH_368,GPGS,CH,AUDIO ACCESSORIES类,5.0,0.5,2.0,0.2,3.0,0.3,2.0,0.2
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_5","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,KIDS PAINTING KIT,5.0,1.2,2.0,0.48,1.0,0.24,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_319","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,ZINC ALLOY MEDAL类,5.0,1.27,1.0,0.25,1.0,0.25,1.0,0.25
"Yanwen Logistics Co., Ltd. Shenzhen Branch_PL_19999","Yanwen Logistics Co., Ltd. Shenzhen Branch",PL,L1大类19_长尾杂项,5.0,0.14,2.0,0.05,3.0,0.08,1.0,0.03
GPGS_JP_368,GPGS,JP,AUDIO ACCESSORIES类,5.0,0.5,3.0,0.3,13.0,1.3,2.0,0.2
"Yanwen Logistics Co., Ltd. Shenzhen Branch_BN_319","Yanwen Logistics Co., Ltd. Shenzhen Branch",BN,ZINC ALLOY MEDAL类,5.0,1.29,1.0,0.26,1.0,0.26,1.0,0.26
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CH_19999","Yanwen Logistics Co., Ltd. Shenzhen Branch",CH,L1大类19_长尾杂项,5.0,0.39,2.0,0.16,7.0,0.55,2.0,0.16
ASIA ENTERTAINMENT TECHNOLOGY LTD_TH_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,TH,VIDEO GAME类,5.0,2.77,6.0,3.32,4.0,2.21,3.0,1.66
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CZ_483","Yanwen Logistics Co., Ltd. Shenzhen Branch",CZ,DEPILATOR类,4.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,L1大类8_长尾杂项,4.0,0.71,2.0,0.35,2.0,0.35,1.0,0.18
GPGS_GR_368,GPGS,GR,AUDIO ACCESSORIES类,4.0,0.4,2.0,0.2,3.0,0.3,3.0,0.3
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_156","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,WATCH STRAP类,4.0,0.42,1.0,0.11,1.0,0.11,0.0,0.0
